"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2022","0.6730","0.6707","0.6735","0.6702","28.85K","0.51%"
"12/05/2022","0.6696","0.6802","0.6852","0.6686","128.79K","-1.72%"
"12/04/2022","0.6813","0.6773","0.6813","0.6769","6.34K","0.35%"
"12/02/2022","0.6789","0.6811","0.6837","0.6743","122.79K","-0.29%"
"12/01/2022","0.6809","0.6785","0.6845","0.6780","148.63K","0.34%"
"11/30/2022","0.6786","0.6688","0.6801","0.6669","133.56K","1.50%"
"11/29/2022","0.6686","0.6649","0.6750","0.6640","109.36K","0.57%"
"11/28/2022","0.6648","0.6734","0.6737","0.6641","108.21K","-1.50%"
"11/25/2022","0.6749","0.6764","0.6782","0.6720","88.78K","-0.21%"
"11/24/2022","0.6763","0.6732","0.6779","0.6726","85.98K","0.48%"
"11/23/2022","0.6731","0.6649","0.6740","0.6633","90.96K","1.25%"
"11/22/2022","0.6648","0.6602","0.6653","0.6599","103.63K","0.65%"
"11/21/2022","0.6605","0.6676","0.6688","0.6585","118.85K","-0.99%"
"11/18/2022","0.6671","0.6685","0.6732","0.6661","122.37K","-0.15%"
"11/17/2022","0.6681","0.6736","0.6752","0.6633","131.60K","-0.88%"
"11/16/2022","0.6740","0.6750","0.6794","0.6719","136.05K","-0.24%"
"11/15/2022","0.6756","0.6702","0.6798","0.6685","144.04K","0.90%"
"11/14/2022","0.6696","0.6702","0.6726","0.6662","133.79K","-0.09%"
"11/11/2022","0.6702","0.6619","0.6718","0.6578","123.57K","1.28%"
"11/10/2022","0.6617","0.6431","0.6633","0.6386","121.09K","2.91%"
"11/09/2022","0.6430","0.6504","0.6524","0.6414","111.96K","-1.12%"
"11/08/2022","0.6503","0.6479","0.6553","0.6443","115.29K","0.39%"
"11/07/2022","0.6478","0.6418","0.6492","0.6401","135.57K","0.19%"
"11/04/2022","0.6466","0.6289","0.6484","0.6284","130.00K","2.85%"
"11/03/2022","0.6287","0.6352","0.6373","0.6271","111.93K","-0.98%"
"11/02/2022","0.6349","0.6395","0.6493","0.6347","112.95K","-0.72%"
"11/01/2022","0.6395","0.6399","0.6465","0.6377","116.18K","-0.03%"
"10/31/2022","0.6397","0.6408","0.6429","0.6367","117.27K","-0.22%"
"10/28/2022","0.6411","0.6451","0.6481","0.6388","115.99K","-0.59%"
"10/27/2022","0.6449","0.6498","0.6524","0.6425","137.13K","-0.74%"
"10/26/2022","0.6497","0.6393","0.6513","0.6372","121.14K","1.61%"
"10/25/2022","0.6394","0.6313","0.6413","0.6302","114.58K","1.33%"
"10/24/2022","0.6310","0.6378","0.6412","0.6271","144.08K","-1.05%"
"10/21/2022","0.6377","0.6281","0.6394","0.6210","122.38K","1.63%"
"10/20/2022","0.6275","0.6271","0.6357","0.6227","138.80K","0.08%"
"10/19/2022","0.6270","0.6310","0.6327","0.6251","130.90K","-0.62%"
"10/18/2022","0.6309","0.6290","0.6341","0.6266","145.05K","0.30%"
"10/17/2022","0.6290","0.6194","0.6313","0.6191","123.78K","1.52%"
"10/14/2022","0.6196","0.6299","0.6348","0.6194","159.31K","-1.62%"
"10/13/2022","0.6298","0.6277","0.6318","0.6170","137.27K","0.35%"
"10/12/2022","0.6276","0.6272","0.6299","0.6235","144.81K","0.10%"
"10/11/2022","0.6270","0.6304","0.6348","0.6247","146.86K","-0.52%"
